Country;Date;Download_speed;Upload_speed;Latency
colombia;2022-07-01;83.57;29.2;12.0
colombia;2022-08-01;84.66;30.68;12.0
colombia;2022-09-01;86.83;31.77;11.0
colombia;2022-10-01;87.28;31.93;11.0
colombia;2022-11-01;89.63;32.37;11.0
colombia;2022-12-01;90.76;32.62;11.0
colombia;2023-01-01;91.43;32.62;11.0
colombia;2023-02-01;92.96;32.91;11.0
colombia;2023-03-01;93.46;32.99;11.0
colombia;2023-04-01;93.78;33.19;11.0
colombia;2023-05-01;94.4;33.54;10.0
colombia;2023-06-01;94.8;33.99;10.0
colombia;2023-07-01;95.45;35.29;11.0
venezuela;2022-07-01;10.17;7.45;31.0
venezuela;2022-08-01;11.1;8.59;27.0
venezuela;2022-09-01;12.11;9.23;24.0
venezuela;2022-10-01;14.23;10.14;23.0
venezuela;2022-11-01;14.41;10.54;22.0
venezuela;2022-12-01;15.34;12.28;22.0
venezuela;2023-01-01;16.5;13.33;23.0
venezuela;2023-02-01;19.6;16.28;19.0
venezuela;2023-03-01;22.04;19.33;16.0
venezuela;2023-04-01;23.32;19.82;17.0
venezuela;2023-05-01;26.08;22.05;14.0
venezuela;2023-06-01;27.08;23.46;15.0
venezuela;2023-07-01;29.02;25.0;14.0
bolivia;2022-07-01;23.03;11.76;9.0
bolivia;2022-08-01;22.6;11.81;8.0
bolivia;2022-09-01;23.17;12.45;8.0
bolivia;2022-10-01;23.62;12.92;8.0
bolivia;2022-11-01;24.96;13.26;8.0
bolivia;2022-12-01;24.71;13.5;8.0
bolivia;2023-01-01;23.84;13.61;8.0
bolivia;2023-02-01;24.62;14.23;8.0
bolivia;2023-03-01;29.09;14.79;10.0
bolivia;2023-04-01;30.02;14.13;10.0
bolivia;2023-05-01;30.37;14.63;10.0
bolivia;2023-06-01;28.61;14.23;9.0
bolivia;2023-07-01;26.13;14.22;8.0
ecuador;2022-07-01;42.46;38.36;5.0
ecuador;2022-08-01;43.19;38.94;5.0
ecuador;2022-09-01;45.18;42.1;5.0
ecuador;2022-10-01;45.77;42.94;5.0
ecuador;2022-11-01;46.36;42.66;6.0
ecuador;2022-12-01;46.8;43.02;6.0
ecuador;2023-01-01;48.0;43.42;6.0
ecuador;2023-02-01;51.09;45.97;7.0
ecuador;2023-03-01;53.17;48.16;6.0
ecuador;2023-04-01;54.75;49.14;5.0
ecuador;2023-05-01;56.69;50.24;5.0
ecuador;2023-06-01;57.13;51.22;5.0
ecuador;2023-07-01;66.74;57.15;5.0
mexico;2022-07-01;47.22;12.32;9.0
mexico;2022-08-01;48.45;13.95;8.0
mexico;2022-09-01;48.88;14.33;8.0
mexico;2022-10-01;49.89;18.13;8.0
mexico;2022-11-01;49.92;19.42;8.0
mexico;2022-12-01;49.61;18.79;8.0
mexico;2023-01-01;50.0;19.26;8.0
mexico;2023-02-01;50.15;19.5;8.0
mexico;2023-03-01;50.53;19.63;8.0
mexico;2023-04-01;50.58;19.32;8.0
mexico;2023-05-01;59.23;20.48;7.0
mexico;2023-06-01;60.71;21.37;7.0
mexico;2023-07-01;61.36;21.13;7.0
argentina;2022-07-01;46.37;19.25;13.0
argentina;2022-08-01;47.19;19.65;13.0
argentina;2022-09-01;48.07;19.85;13.0
argentina;2022-10-01;49.41;20.51;13.0
argentina;2022-11-01;60.34;25.17;13.0
argentina;2022-12-01;56.13;24.61;12.0
argentina;2023-01-01;53.65;23.29;12.0
argentina;2023-02-01;54.05;23.67;12.0
argentina;2023-03-01;56.67;24.65;12.0
argentina;2023-04-01;62.1;26.06;12.0
argentina;2023-05-01;64.2;26.47;11.0
argentina;2023-06-01;67.4;26.89;11.0
argentina;2023-07-01;68.55;26.88;11.0
peru;2022-07-01;52.07;26.48;10.0
peru;2022-08-01;53.98;28.19;10.0
peru;2022-09-01;57.27;30.29;10.0
peru;2022-10-01;59.83;30.94;10.0
peru;2022-11-01;65.8;32.14;9.0
peru;2022-12-01;67.57;32.43;9.0
peru;2023-01-01;70.69;32.8;10.0
peru;2023-02-01;72.92;33.15;10.0
peru;2023-03-01;79.31;37.81;9.0
peru;2023-04-01;79.9;37.98;10.0
peru;2023-05-01;81.6;39.62;9.0
peru;2023-06-01;87.89;43.97;9.0
peru;2023-07-01;88.97;46.72;9.0
paraguay;2022-07-01;62.39;22.11;9.0
paraguay;2022-08-01;63.51;23.11;9.0
paraguay;2022-09-01;64.84;23.71;9.0
paraguay;2022-10-01;68.69;25.08;9.0
paraguay;2022-11-01;69.14;26.19;9.0
paraguay;2022-12-01;68.93;26.14;9.0
paraguay;2023-01-01;70.11;26.26;9.0
paraguay;2023-02-01;70.46;26.5;9.0
paraguay;2023-03-01;71.38;27.13;8.0
paraguay;2023-04-01;74.86;27.54;9.0
paraguay;2023-05-01;75.78;28.01;9.0
paraguay;2023-06-01;77.9;28.34;9.0
paraguay;2023-07-01;80.2;28.68;9.0
united-kingdom;2022-07-01;65.67;18.26;14.0
united-kingdom;2022-08-01;66.22;18.25;15.0
united-kingdom;2022-09-01;68.72;18.45;14.0
united-kingdom;2022-10-01;69.79;18.55;14.0
united-kingdom;2022-11-01;73.23;19.99;15.0
united-kingdom;2022-12-01;71.14;19.67;15.0
united-kingdom;2023-01-01;72.24;20.23;14.0
united-kingdom;2023-02-01;73.48;20.66;14.0
united-kingdom;2023-03-01;74.23;20.93;14.0
united-kingdom;2023-04-01;81.18;21.11;14.0
united-kingdom;2023-05-01;74.98;21.06;14.0
united-kingdom;2023-06-01;81.12;22.68;14.0
united-kingdom;2023-07-01;77.44;21.92;13.0
germany;2022-07-01;73.03;25.44;13.0
germany;2022-08-01;75.09;25.76;14.0
germany;2022-09-01;76.5;26.31;13.0
germany;2022-10-01;77.41;26.53;13.0
germany;2022-11-01;80.5;27.11;13.0
germany;2022-12-01;80.08;27.15;13.0
germany;2023-01-01;82.28;28.01;13.0
germany;2023-02-01;83.2;28.75;13.0
germany;2023-03-01;83.2;28.96;13.0
germany;2023-04-01;83.94;29.07;13.0
germany;2023-05-01;83.44;29.38;13.0
germany;2023-06-01;84.18;29.75;13.0
germany;2023-07-01;85.86;30.48;13.0
uruguay;2022-07-01;94.88;31.88;6.0
uruguay;2022-08-01;94.6;31.85;5.0
uruguay;2022-09-01;95.84;31.9;5.0
uruguay;2022-10-01;98.73;31.93;5.0
uruguay;2022-11-01;105.59;31.98;5.0
uruguay;2022-12-01;94.69;31.9;6.0
uruguay;2023-01-01;94.41;31.87;6.0
uruguay;2023-02-01;149.56;32.22;5.0
uruguay;2023-03-01;118.06;32.0;5.0
uruguay;2023-04-01;113.48;31.97;6.0
uruguay;2023-05-01;118.11;32.01;6.0
uruguay;2023-06-01;141.69;32.71;5.0
uruguay;2023-07-01;147.03;32.85;5.0
brazil;2022-07-01;94.01;50.33;5.0
brazil;2022-08-01;94.36;52.27;5.0
brazil;2022-09-01;94.6;57.94;5.0
brazil;2022-10-01;97.36;66.0;5.0
brazil;2022-11-01;99.73;71.35;5.0
brazil;2022-12-01;100.95;73.32;6.0
brazil;2023-01-01;100.58;73.7;6.0
brazil;2023-02-01;102.24;76.41;6.0
brazil;2023-03-01;106.06;78.21;6.0
brazil;2023-04-01;106.7;79.82;6.0
brazil;2023-05-01;111.04;81.97;6.0
brazil;2023-06-01;117.36;84.18;5.0
brazil;2023-07-01;122.16;85.58;5.0
south-korea;2022-07-01;106.9;95.47;6.0
south-korea;2022-08-01;109.1;96.14;7.0
south-korea;2022-09-01;99.17;94.89;8.0
south-korea;2022-10-01;99.82;95.0;15.0
south-korea;2022-11-01;95.36;94.58;25.0
south-korea;2022-12-01;95.74;94.56;21.0
south-korea;2023-01-01;124.99;97.97;10.0
south-korea;2023-02-01;143.54;99.95;7.0
south-korea;2023-03-01;123.53;98.35;7.0
south-korea;2023-04-01;114.73;93.85;8.0
south-korea;2023-05-01;124.56;91.05;6.0
south-korea;2023-06-01;125.21;93.73;7.0
south-korea;2023-07-01;133.38;93.82;7.0
canada;2022-07-01;111.58;25.84;11.0
canada;2022-08-01;111.76;28.33;11.0
canada;2022-09-01;121.72;30.57;11.0
canada;2022-10-01;127.64;32.12;11.0
canada;2022-11-01;137.01;32.89;11.0
canada;2022-12-01;144.5;34.33;11.0
canada;2023-01-01;149.54;35.14;11.0
canada;2023-02-01;150.85;37.88;11.0
canada;2023-03-01;149.99;39.05;11.0
canada;2023-04-01;146.07;37.5;11.0
canada;2023-05-01;141.67;36.34;11.0
canada;2023-06-01;148.93;40.2;11.0
canada;2023-07-01;147.65;41.43;10.0
japan;2022-07-01;131.32;94.37;13.0
japan;2022-08-01;131.86;94.75;13.0
japan;2022-09-01;172.94;118.96;12.0
japan;2022-10-01;165.27;103.16;12.0
japan;2022-11-01;150.14;95.1;13.0
japan;2022-12-01;143.33;94.21;13.0
japan;2023-01-01;150.41;93.44;12.0
japan;2023-02-01;146.79;93.44;13.0
japan;2023-03-01;146.9;94.49;13.0
japan;2023-04-01;150.62;93.96;13.0
japan;2023-05-01;154.47;93.71;12.0
japan;2023-06-01;147.7;93.16;13.0
japan;2023-07-01;145.49;93.45;13.0
united-states;2022-07-01;159.66;21.53;14.0
united-states;2022-08-01;167.4;22.03;14.0
united-states;2022-09-01;172.3;22.4;14.0
united-states;2022-10-01;182.72;22.43;13.0
united-states;2022-11-01;189.58;22.55;14.0
united-states;2022-12-01;192.73;22.57;14.0
united-states;2023-01-01;195.33;22.78;14.0
united-states;2023-02-01;198.17;22.89;14.0
united-states;2023-03-01;197.84;23.02;13.0
united-states;2023-04-01;202.4;23.1;13.0
united-states;2023-05-01;203.31;23.31;13.0
united-states;2023-06-01;205.2;23.38;13.0
united-states;2023-07-01;207.32;23.35;13.0
spain;2022-07-01;121.82;96.17;14.0
spain;2022-08-01;131.55;100.67;14.0
spain;2022-09-01;154.73;107.85;12.0
spain;2022-10-01;157.43;104.82;12.0
spain;2022-11-01;166.9;107.24;12.0
spain;2022-12-01;168.63;114.09;12.0
spain;2023-01-01;172.67;124.34;12.0
spain;2023-02-01;180.3;131.2;11.0
spain;2023-03-01;178.4;130.84;12.0
spain;2023-04-01;175.96;129.17;12.0
spain;2023-05-01;185.65;138.19;12.0
spain;2023-06-01;180.0;134.38;12.0
spain;2023-07-01;178.94;135.1;12.0
chile;2022-07-01;213.18;129.61;6.0
chile;2022-08-01;211.42;126.19;6.0
chile;2022-09-01;217.43;126.46;6.0
chile;2022-10-01;219.53;130.95;6.0
chile;2022-11-01;216.5;130.71;6.0
chile;2022-12-01;220.96;131.14;6.0
chile;2023-01-01;222.66;130.78;6.0
chile;2023-02-01;222.49;136.02;6.0
chile;2023-03-01;218.34;126.69;6.0
chile;2023-04-01;219.43;131.84;6.0
chile;2023-05-01;223.21;146.16;6.0
chile;2023-06-01;229.48;150.62;6.0
chile;2023-07-01;240.34;160.75;6.0
